Gene,Description
Snx1,Sorting nexin-1 OS=Mus musculus GN=Snx1 PE=1 SV=1
Snx10,Sorting nexin-10 OS=Mus musculus OX=10090 GN=Snx10 PE=1 SV=1
Snx12,Sorting nexin-12 OS=Mus musculus GN=Snx12 PE=1 SV=1
Snx13,Sorting nexin-13 OS=Mus musculus OX=10090 GN=Snx13 PE=2 SV=1
Snx14,Sorting nexin-14 OS=Mus musculus OX=10090 GN=Snx14 PE=1 SV=2
Snx15,Sorting nexin-15 OS=Mus musculus GN=Snx15 PE=1 SV=1
Snx16,Sorting nexin-16 OS=Mus musculus GN=Snx16 PE=2 SV=1
Snx17,Sorting nexin-17 OS=Mus musculus GN=Snx17 PE=1 SV=2
Snx18,Sorting nexin-18 OS=Mus musculus OX=10090 GN=Snx18 PE=1 SV=1
Snx19,Sorting nexin-19 OS=Mus musculus OX=10090 GN=Snx19 PE=1 SV=1
Snx2,Sorting nexin-2 OS=Mus musculus GN=Snx2 PE=1 SV=2
Snx24,Sorting nexin-24 OS=Mus musculus OX=10090 GN=Snx24 PE=1 SV=1
Snx25,Sorting nexin-25 OS=Mus musculus OX=10090 GN=Snx25 PE=1 SV=3
Snx27,Sorting nexin-27 OS=Mus musculus GN=Snx27 PE=1 SV=2
Snx29,Sorting nexin-29 OS=Mus musculus OX=10090 GN=Snx29 PE=1 SV=2
Snx3,Sorting nexin-3 OS=Mus musculus GN=Snx3 PE=1 SV=3
Snx30,Sorting nexin-30 OS=Mus musculus GN=Snx30 PE=1 SV=1
Snx32,Sorting nexin-32 OS=Mus musculus OX=10090 GN=Snx32 PE=2 SV=1
Snx33,Sorting nexin-33 OS=Mus musculus OX=10090 GN=Snx33 PE=1 SV=1
Snx4,Sorting nexin-4 OS=Mus musculus GN=Snx4 PE=1 SV=1
Snx5,Sorting nexin-5 OS=Mus musculus GN=Snx5 PE=1 SV=1
Snx6,Sorting nexin-6 OS=Mus musculus GN=Snx6 PE=1 SV=1
Snx7,Sorting nexin-7 OS=Mus musculus GN=Snx7 PE=1 SV=1
Snx8,Sorting nexin-8 OS=Mus musculus OX=10090 GN=Snx8 PE=1 SV=1
Snx9,Sorting nexin-9 OS=Mus musculus OX=10090 GN=Snx9 PE=1 SV=1
Soat1,Sterol O-acyltransferase 1 OS=Mus musculus OX=10090 GN=Soat1 PE=1 SV=2
Sod1,Superoxide dismutase [Cu-Zn] OS=Mus musculus GN=Sod1 PE=1 SV=2
Sod2,"Superoxide dismutase [Mn], mitochondrial OS=Mus musculus GN=Sod2 PE=1 SV=3"
Sod3,Extracellular superoxide dismutase [Cu-Zn] OS=Mus musculus OX=10090 GN=Sod3 PE=1 SV=1
Soga1,Protein SOGA1 OS=Mus musculus GN=Soga1 PE=1 SV=3
Soga3,Protein SOGA3 OS=Mus musculus GN=Soga3 PE=1 SV=2
Son,Protein SON OS=Mus musculus OX=10090 GN=Son PE=1 SV=2
Sorbs1,Sorbin and SH3 domain-containing protein 1 OS=Mus musculus GN=Sorbs1 PE=1 SV=2
Sorbs2,Sorbin and SH3 domain-containing protein 2 OS=Mus musculus GN=Sorbs2 PE=1 SV=2
Sorbs3,Vinexin OS=Mus musculus OX=10090 GN=Sorbs3 PE=1 SV=1
Sorcs1,VPS10 domain-containing receptor SorCS1 OS=Mus musculus OX=10090 GN=Sorcs1 PE=1 SV=1
Sorcs2,VPS10 domain-containing receptor SorCS2 OS=Mus musculus GN=Sorcs2 PE=1 SV=2
Sorcs3,VPS10 domain-containing receptor SorCS3 OS=Mus musculus OX=10090 GN=Sorcs3 PE=1 SV=1
Sord,Sorbitol dehydrogenase OS=Mus musculus GN=Sord PE=1 SV=3
Sorl1,Sortilin-related receptor OS=Mus musculus GN=Sorl1 PE=1 SV=3
Sort1,Sortilin OS=Mus musculus GN=Sort1 PE=1 SV=1
Sos1,Son of sevenless homolog 1 OS=Mus musculus GN=Sos1 PE=1 SV=2
Sos2,Son of sevenless homolog 2 OS=Mus musculus OX=10090 GN=Sos2 PE=1 SV=2
Sowaha,Ankyrin repeat domain-containing protein SOWAHA OS=Mus musculus OX=10090 GN=Sowaha PE=1 SV=2
Sowahb,Ankyrin repeat domain-containing protein SOWAHB OS=Mus musculus OX=10090 GN=Sowahb PE=1 SV=1
Sowahc,Ankyrin repeat domain-containing protein SOWAHC OS=Mus musculus OX=10090 GN=Sowahc PE=1 SV=2
Sox10,Transcription factor SOX-10 OS=Mus musculus OX=10090 GN=Sox10 PE=1 SV=2
Sox2,Transcription factor SOX-2 OS=Mus musculus OX=10090 GN=Sox2 PE=1 SV=2
Sox5,Transcription factor SOX-5 OS=Mus musculus OX=10090 GN=Sox5 PE=1 SV=2
Sox8,Transcription factor SOX-8 OS=Mus musculus OX=10090 GN=Sox8 PE=2 SV=2
Sp3,Transcription factor Sp3 OS=Mus musculus OX=10090 GN=Sp3 PE=1 SV=2
Spag1,Sperm-associated antigen 1 OS=Mus musculus OX=10090 GN=Spag1 PE=1 SV=1
Spag17,Sperm-associated antigen 17 OS=Mus musculus OX=10090 GN=Spag17 PE=1 SV=2
Spag7,Sperm-associated antigen 7 OS=Mus musculus OX=10090 GN=Spag7 PE=1 SV=1
Spag9,C-Jun-amino-terminal kinase-interacting protein 4 OS=Mus musculus GN=Spag9 PE=1 SV=2
Sparc,SPARC OS=Mus musculus GN=Sparc PE=1 SV=1
Sparcl1,SPARC-like protein 1 OS=Mus musculus GN=Sparcl1 PE=1 SV=3
Spart,Spartin OS=Mus musculus OX=10090 GN=Spart PE=1 SV=1
Spast,Spastin OS=Mus musculus GN=Spast PE=2 SV=3
Spata1,Spermatogenesis-associated protein 1 OS=Mus musculus GN=Spata1 PE=2 SV=1
Spata13,Spermatogenesis-associated protein 13 OS=Mus musculus OX=10090 GN=Spata13 PE=1 SV=2
Spata2,Spermatogenesis-associated protein 2 OS=Mus musculus OX=10090 GN=Spata2 PE=1 SV=1
Spata24,Spermatogenesis-associated protein 24 OS=Mus musculus GN=Spata24 PE=1 SV=1
Spata2l,Spermatogenesis-associated protein 2-like protein OS=Mus musculus OX=10090 GN=Spata2l PE=1 SV=1
Spata5,ATPase family protein 2 homolog OS=Mus musculus OX=10090 GN=Spata5 PE=1 SV=2
Spata7,Spermatogenesis-associated protein 7 homolog OS=Mus musculus OX=10090 GN=Spata7 PE=1 SV=1
Spats2,Spermatogenesis-associated serine-rich protein 2 OS=Mus musculus OX=10090 GN=Spats2 PE=1 SV=1
Spats2l,SPATS2-like protein OS=Mus musculus OX=10090 GN=Spats2l PE=2 SV=2
Spcs1,Signal peptidase complex subunit 1 OS=Mus musculus OX=10090 GN=Spcs1 PE=2 SV=3
Spcs2,Signal peptidase complex subunit 2 OS=Mus musculus GN=Spcs2 PE=1 SV=1
Spcs3,Signal peptidase complex subunit 3 OS=Mus musculus OX=10090 GN=Spcs3 PE=1 SV=1
Specc1,Cytospin-B OS=Mus musculus GN=Specc1 PE=1 SV=2
Specc1l,Cytospin-A OS=Mus musculus OX=10090 GN=Specc1l PE=1 SV=1
Spef2,Sperm flagellar protein 2 OS=Mus musculus OX=10090 GN=Spef2 PE=1 SV=3
Speg,Striated muscle-specific serine/threonine-protein kinase OS=Mus musculus OX=10090 GN=Speg PE=1 SV=2
Spen,Msx2-interacting protein OS=Mus musculus GN=Spen PE=1 SV=2
Spesp1,Sperm equatorial segment protein 1 OS=Mus musculus GN=Spesp1 PE=1 SV=2
Spg11,Spatacsin OS=Mus musculus OX=10090 GN=Spg11 PE=1 SV=3
Spg20,Spartin OS=Mus musculus GN=Spg20 PE=1 SV=1
Spg21,Maspardin OS=Mus musculus OX=10090 GN=Spg21 PE=1 SV=1
Spg3a,Atlastin-1 OS=Mus musculus GN=Spg3a PE=1 SV=1
Spg7,Paraplegin OS=Mus musculus GN=Spg7 PE=1 SV=1
Sphk1,Sphingosine kinase 1 OS=Mus musculus OX=10090 GN=Sphk1 PE=1 SV=1
Sphk2,Sphingosine kinase 2 OS=Mus musculus GN=Sphk2 PE=1 SV=2
Sphkap,A-kinase anchor protein SPHKAP OS=Mus musculus GN=Sphkap PE=1 SV=2
Spice1,Spindle and centriole-associated protein 1 OS=Mus musculus OX=10090 GN=Spice1 PE=1 SV=2
Spin1,Spindlin-1 OS=Mus musculus OX=10090 GN=Spin1 PE=1 SV=2
Spire1,Protein spire homolog 1 OS=Mus musculus GN=Spire1 PE=1 SV=1
Spire2,Protein spire homolog 2 OS=Mus musculus OX=10090 GN=Spire2 PE=1 SV=1
Spns1,Protein spinster homolog 1 OS=Mus musculus OX=10090 GN=Spns1 PE=2 SV=1
Spns2,Protein spinster homolog 2 OS=Mus musculus OX=10090 GN=Spns2 PE=1 SV=2
Spock1,Testican-1 OS=Mus musculus OX=10090 GN=Spock1 PE=2 SV=2
Spock2,Testican-2 OS=Mus musculus OX=10090 GN=Spock2 PE=1 SV=1
Spock3,Testican-3 OS=Mus musculus OX=10090 GN=Spock3 PE=2 SV=2
Spon1,Spondin-1 OS=Mus musculus GN=Spon1 PE=2 SV=1
Sppl2a,Signal peptide peptidase-like 2A OS=Mus musculus OX=10090 GN=Sppl2a PE=1 SV=2
Sppl2b,Signal peptide peptidase-like 2B OS=Mus musculus OX=10090 GN=Sppl2b PE=1 SV=2
Spr,Sepiapterin reductase OS=Mus musculus GN=Spr PE=1 SV=1
Spred1,"Sprouty-related, EVH1 domain-containing protein 1 OS=Mus musculus OX=10090 GN=Spred1 PE=1 SV=1"
Spred2,"Sprouty-related, EVH1 domain-containing protein 2 OS=Mus musculus OX=10090 GN=Spred2 PE=1 SV=1"
Spred3,"Sprouty-related, EVH1 domain-containing protein 3 OS=Mus musculus GN=Spred3 PE=1 SV=1"
Sprn,Shadow of prion protein OS=Mus musculus OX=10090 GN=Sprn PE=1 SV=1
Spry2,Protein sprouty homolog 2 OS=Mus musculus OX=10090 GN=Spry2 PE=2 SV=1
Spry4,Protein sprouty homolog 4 OS=Mus musculus OX=10090 GN=Spry4 PE=2 SV=1
Spryd4,SPRY domain-containing protein 4 OS=Mus musculus GN=Spryd4 PE=1 SV=1
Spryd7,SPRY domain-containing protein 7 OS=Mus musculus GN=Spryd7 PE=1 SV=2
Spta1,"Spectrin alpha chain, erythrocytic 1 OS=Mus musculus OX=10090 GN=Spta1 PE=1 SV=3"
Sptan1,"Spectrin alpha chain, non-erythrocytic 1 OS=Mus musculus GN=Sptan1 PE=1 SV=4"
Sptb,"Spectrin beta chain, erythrocyte OS=Mus musculus GN=Sptb PE=1 SV=4"
Sptbn1,"Spectrin beta chain, brain 1 OS=Mus musculus GN=Sptbn1 PE=1 SV=2"
Sptlc1,Serine palmitoyltransferase 1 OS=Mus musculus OX=10090 GN=Sptlc1 PE=1 SV=2
Sptlc2,Serine palmitoyltransferase 2 OS=Mus musculus OX=10090 GN=Sptlc2 PE=1 SV=2
Sqle,Squalene monooxygenase OS=Mus musculus OX=10090 GN=Sqle PE=2 SV=1
Sqor,"Sulfide:quinone oxidoreductase, mitochondrial OS=Mus musculus GN=Sqor PE=1 SV=3"
Sqstm1,Sequestosome-1 OS=Mus musculus GN=Sqstm1 PE=1 SV=1
Sr140,U2-associated protein SR140 OS=Mus musculus GN=Sr140 PE=2 SV=2
Sra1,Steroid receptor RNA activator 1 OS=Mus musculus OX=10090 GN=Sra1 PE=1 SV=3
Srbd1,S1 RNA-binding domain-containing protein 1 OS=Mus musculus GN=Srbd1 PE=1 SV=2
Src,Neuronal proto-oncogene tyrosine-protein kinase Src OS=Mus musculus GN=Src PE=1 SV=3
Srcin1,SRC kinase signaling inhibitor 1 OS=Mus musculus GN=Srcin1 PE=1 SV=2
Srd5a3,Polyprenol reductase OS=Mus musculus OX=10090 GN=Srd5a3 PE=1 SV=2
Srebf2,Sterol regulatory element-binding protein 2 OS=Mus musculus OX=10090 GN=Srebf2 PE=1 SV=2
Srek1,Splicing regulatory glutamine/lysine-rich protein 1 OS=Mus musculus OX=10090 GN=Srek1 PE=2 SV=1
Srf,Serum response factor OS=Mus musculus OX=10090 GN=Srf PE=1 SV=1
Srfbp1,Serum response factor-binding protein 1 OS=Mus musculus OX=10090 GN=Srfbp1 PE=1 SV=1
Srgap1,SLIT-ROBO Rho GTPase-activating protein 1 OS=Mus musculus OX=10090 GN=Srgap1 PE=1 SV=2
Srgap2,SLIT-ROBO Rho GTPase-activating protein 2 OS=Mus musculus GN=Srgap2 PE=1 SV=2
Srgap3,SLIT-ROBO Rho GTPase-activating protein 3 OS=Mus musculus GN=Srgap3 PE=1 SV=1
Sri,Sorcin OS=Mus musculus GN=Sri PE=1 SV=1
Srm,Spermidine synthase OS=Mus musculus GN=Srm PE=1 SV=1
Srms,Tyrosine-protein kinase Srms OS=Mus musculus OX=10090 GN=Srms PE=2 SV=2
Srp14,Signal recognition particle 14 kDa protein OS=Mus musculus OX=10090 GN=Srp14 PE=1 SV=1
Srp19,Signal recognition particle 19 kDa protein OS=Mus musculus OX=10090 GN=Srp19 PE=1 SV=1
Srp54,Signal recognition particle 54 kDa protein OS=Mus musculus GN=Srp54 PE=1 SV=2
Srp68,Signal recognition particle 68 kDa protein OS=Mus musculus GN=Srp68 PE=2 SV=1
Srp9,Signal recognition particle 9 kDa protein OS=Mus musculus OX=10090 GN=Srp9 PE=1 SV=2
Srpk1,Serine/threonine-protein kinase SRPK1 OS=Mus musculus GN=Srpk1 PE=1 SV=2
Srpk2,Serine/threonine-protein kinase SRPK2 OS=Mus musculus GN=Srpk2 PE=1 SV=2
Srpra,Signal recognition particle receptor subunit alpha OS=Mus musculus GN=Srpra PE=1 SV=1
Srprb,Signal recognition particle receptor subunit beta OS=Mus musculus GN=Srprb PE=1 SV=1
Srr,Serine racemase OS=Mus musculus GN=Srr PE=1 SV=1
Srrd,SRR1-like protein OS=Mus musculus OX=10090 GN=Srrd PE=2 SV=4
Srrm1,Serine/arginine repetitive matrix protein 1 OS=Mus musculus OX=10090 GN=Srrm1 PE=1 SV=2
Srrm2,Serine/arginine repetitive matrix protein 2 OS=Mus musculus GN=Srrm2 PE=1 SV=3
Srrm3,Serine/arginine repetitive matrix protein 3 OS=Mus musculus OX=10090 GN=Srrm3 PE=2 SV=1
Srrt,Serrate RNA effector molecule homolog OS=Mus musculus GN=Srrt PE=1 SV=1
Srsf1,Serine/arginine-rich splicing factor 1 OS=Mus musculus GN=Srsf1 PE=1 SV=3
Srsf10,Serine/arginine-rich splicing factor 10 OS=Mus musculus OX=10090 GN=Srsf10 PE=1 SV=2
Srsf2,Serine/arginine-rich splicing factor 2 OS=Mus musculus GN=Srsf2 PE=1 SV=4
Srsf3,Serine/arginine-rich splicing factor 3 OS=Mus musculus GN=Srsf3 PE=1 SV=1
Srsf4,Serine/arginine-rich splicing factor 4 OS=Mus musculus GN=Srsf4 PE=2 SV=1
Srsf5,Serine/arginine-rich splicing factor 5 OS=Mus musculus GN=Srsf5 PE=1 SV=2
Srsf6,Serine/arginine-rich splicing factor 6 OS=Mus musculus GN=Srsf6 PE=1 SV=1
Srsf7,Serine/arginine-rich splicing factor 7 OS=Mus musculus GN=Srsf7 PE=1 SV=1
Srsf9,Serine/arginine-rich splicing factor 9 OS=Mus musculus OX=10090 GN=Srsf9 PE=1 SV=1
Ss18,Protein SSXT OS=Mus musculus OX=10090 GN=Ss18 PE=1 SV=2
Ss18l1,Calcium-responsive transactivator OS=Mus musculus OX=10090 GN=Ss18l1 PE=1 SV=1
Ssb,Lupus La protein homolog OS=Mus musculus GN=Ssb PE=1 SV=1
Ssbp1,"Single-stranded DNA-binding protein, mitochondrial OS=Mus musculus GN=Ssbp1 PE=1 SV=1"
Ssbp2,Single-stranded DNA-binding protein 2 OS=Mus musculus OX=10090 GN=Ssbp2 PE=1 SV=1
Ssbp3,Single-stranded DNA-binding protein 3 OS=Mus musculus OX=10090 GN=Ssbp3 PE=1 SV=2
Ssc5d,Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D OS=Mus musculus OX=10090 GN=Ssc5d PE=1 SV=1
Ssh1,Protein phosphatase Slingshot homolog 1 OS=Mus musculus OX=10090 GN=Ssh1 PE=1 SV=1
Ssh2,Protein phosphatase Slingshot homolog 2 OS=Mus musculus GN=Ssh2 PE=1 SV=2
Ssh3,Protein phosphatase Slingshot homolog 3 OS=Mus musculus OX=10090 GN=Ssh3 PE=1 SV=1
Ssr1,Translocon-associated protein subunit alpha OS=Mus musculus GN=Ssr1 PE=1 SV=1
Ssr2,Translocon-associated protein subunit beta OS=Mus musculus OX=10090 GN=Ssr2 PE=1 SV=1
Ssr3,Translocon-associated protein subunit gamma OS=Mus musculus GN=Ssr3 PE=1 SV=1
Ssr4,Translocon-associated protein subunit delta OS=Mus musculus GN=Ssr4 PE=1 SV=1
Ssrp1,FACT complex subunit SSRP1 OS=Mus musculus OX=10090 GN=Ssrp1 PE=1 SV=2
Sssca1,Sjoegren syndrome/scleroderma autoantigen 1 homolog OS=Mus musculus OX=10090 GN=Sssca1 PE=1 SV=1
Sst,Somatostatin OS=Mus musculus GN=Sst PE=3 SV=1
Sstr1,Somatostatin receptor type 1 OS=Mus musculus OX=10090 GN=Sstr1 PE=1 SV=1
Sstr2,Somatostatin receptor type 2 OS=Mus musculus GN=Sstr2 PE=2 SV=1
Sstr3,Somatostatin receptor type 3 OS=Mus musculus OX=10090 GN=Sstr3 PE=2 SV=2
Sstr4,Somatostatin receptor type 4 OS=Mus musculus OX=10090 GN=Sstr4 PE=1 SV=2
Ssu72,RNA polymerase II subunit A C-terminal domain phosphatase SSU72 OS=Mus musculus OX=10090 GN=Ssu72 PE=1 SV=1
Ssx2ip,Afadin- and alpha-actinin-binding protein OS=Mus musculus OX=10090 GN=Ssx2ip PE=1 SV=1
St13,Hsc70-interacting protein OS=Mus musculus GN=St13 PE=1 SV=1
St3gal1,"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 1 OS=Mus musculus OX=10090 GN=St3gal1 PE=1 SV=1"
St3gal2,"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 2 OS=Mus musculus OX=10090 GN=St3gal2 PE=1 SV=2"
St3gal3,"CMP-N-acetylneuraminate-beta-1,4-galactoside alpha-2,3-sialyltransferase OS=Mus musculus OX=10090 GN=St3gal3 PE=1 SV=2"
St3gal4,"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 4 OS=Mus musculus OX=10090 GN=St3gal4 PE=1 SV=1"
St3gal5,"Lactosylceramide alpha-2,3-sialyltransferase OS=Mus musculus OX=10090 GN=St3gal5 PE=2 SV=2"
St3gal6,"Type 2 lactosamine alpha-2,3-sialyltransferase OS=Mus musculus OX=10090 GN=St3gal6 PE=2 SV=3"
St6galnac1,"Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 1 OS=Mus musculus OX=10090 GN=St6galnac1 PE=2 SV=2"
St6galnac5,"Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 5 OS=Mus musculus OX=10090 GN=St6galnac5 PE=2 SV=1"
St7,Suppressor of tumorigenicity 7 protein OS=Mus musculus GN=St7 PE=2 SV=1
St7l,Suppressor of tumorigenicity 7 protein-like OS=Mus musculus OX=10090 GN=St7l PE=2 SV=1
St8sia3,"Sia-alpha-2,3-Gal-beta-1,4-GlcNAc-R:alpha 2,8-sialyltransferase OS=Mus musculus OX=10090 GN=St8sia3 PE=1 SV=2"
St8sia5,"Alpha-2,8-sialyltransferase 8E OS=Mus musculus OX=10090 GN=St8sia5 PE=1 SV=2"
Stab1,Stabilin-1 OS=Mus musculus OX=10090 GN=Stab1 PE=1 SV=1
Stac,SH3 and cysteine-rich domain-containing protein OS=Mus musculus OX=10090 GN=Stac PE=1 SV=1
Stac2,SH3 and cysteine-rich domain-containing protein 2 OS=Mus musculus OX=10090 GN=Stac2 PE=1 SV=1
Stag1,Cohesin subunit SA-1 OS=Mus musculus OX=10090 GN=Stag1 PE=1 SV=3
Stag2,Cohesin subunit SA-2 OS=Mus musculus OX=10090 GN=Stag2 PE=1 SV=3
Stag3,Cohesin subunit SA-3 OS=Mus musculus OX=10090 GN=Stag3 PE=1 SV=2
Stam,Signal transducing adapter molecule 1 OS=Mus musculus GN=Stam PE=1 SV=3
Stam2,Signal transducing adapter molecule 2 OS=Mus musculus OX=10090 GN=Stam2 PE=1 SV=1
Stambp,STAM-binding protein OS=Mus musculus GN=Stambp PE=1 SV=1
Stambpl1,AMSH-like protease OS=Mus musculus OX=10090 GN=Stambpl1 PE=1 SV=1
Stard10,START domain-containing protein 10 OS=Mus musculus OX=10090 GN=Stard10 PE=1 SV=1
Stard13,StAR-related lipid transfer protein 13 OS=Mus musculus OX=10090 GN=Stard13 PE=1 SV=5
Stard3,StAR-related lipid transfer protein 3 OS=Mus musculus OX=10090 GN=Stard3 PE=1 SV=1
Stard3nl,STARD3 N-terminal-like protein OS=Mus musculus OX=10090 GN=Stard3nl PE=1 SV=2
Stard4,StAR-related lipid transfer protein 4 OS=Mus musculus OX=10090 GN=Stard4 PE=1 SV=1
Stard5,StAR-related lipid transfer protein 5 OS=Mus musculus OX=10090 GN=Stard5 PE=1 SV=2
Stard7,"StAR-related lipid transfer protein 7, mitochondrial OS=Mus musculus GN=Stard7 PE=1 SV=2"
Stard8,StAR-related lipid transfer protein 8 OS=Mus musculus OX=10090 GN=Stard8 PE=1 SV=2
Stard9,StAR-related lipid transfer protein 9 OS=Mus musculus OX=10090 GN=Stard9 PE=1 SV=2
Stat1,Signal transducer and activator of transcription 1 OS=Mus musculus OX=10090 GN=Stat1 PE=1 SV=1
Stat2,Signal transducer and activator of transcription 2 OS=Mus musculus OX=10090 GN=Stat2 PE=1 SV=1
Stat3,Signal transducer and activator of transcription 3 OS=Mus musculus GN=Stat3 PE=1 SV=2
Stat4,Signal transducer and activator of transcription 4 OS=Mus musculus GN=Stat4 PE=1 SV=1
Stat5b,Signal transducer and activator of transcription 5B OS=Mus musculus OX=10090 GN=Stat5b PE=1 SV=1
Stat6,Signal transducer and transcription activator 6 OS=Mus musculus OX=10090 GN=Stat6 PE=1 SV=2
Stau1,Double-stranded RNA-binding protein Staufen homolog 1 OS=Mus musculus GN=Stau1 PE=2 SV=1
Stau2,Double-stranded RNA-binding protein Staufen homolog 2 OS=Mus musculus GN=Stau2 PE=1 SV=1
Stbd1,Starch-binding domain-containing protein 1 OS=Mus musculus OX=10090 GN=Stbd1 PE=1 SV=1
Steap2,Metalloreductase STEAP2 OS=Mus musculus OX=10090 GN=Steap2 PE=1 SV=1
Steap3,Metalloreductase STEAP3 OS=Mus musculus GN=Steap3 PE=1 SV=1
Steep1,STING ER exit protein OS=Mus musculus OX=10090 GN=Steep1 PE=1 SV=1
Stfa1,Stefin-1 OS=Mus musculus GN=Stfa1 PE=3 SV=1
Stim1,Stromal interaction molecule 1 OS=Mus musculus GN=Stim1 PE=1 SV=2
Stim2,Stromal interaction molecule 2 OS=Mus musculus GN=Stim2 PE=1 SV=2
Stip1,Stress-induced-phosphoprotein 1 OS=Mus musculus GN=Stip1 PE=1 SV=1
Stk10,Serine/threonine-protein kinase 10 OS=Mus musculus OX=10090 GN=Stk10 PE=1 SV=2
Stk11,Serine/threonine-protein kinase STK11 OS=Mus musculus OX=10090 GN=Stk11 PE=1 SV=1
Stk11ip,Serine/threonine-protein kinase 11-interacting protein OS=Mus musculus OX=10090 GN=Stk11ip PE=1 SV=1
Stk16,Serine/threonine-protein kinase 16 OS=Mus musculus OX=10090 GN=Stk16 PE=1 SV=3
Stk17b,Serine/threonine-protein kinase 17B OS=Mus musculus OX=10090 GN=Stk17b PE=1 SV=1
Stk19,Serine/threonine-protein kinase 19 OS=Mus musculus OX=10090 GN=Stk19 PE=2 SV=2
Stk24,Serine/threonine-protein kinase 24 OS=Mus musculus GN=Stk24 PE=1 SV=1
Stk25,Serine/threonine-protein kinase 25 OS=Mus musculus GN=Stk25 PE=1 SV=2
Stk26,Serine/threonine-protein kinase 26 OS=Mus musculus GN=Stk26 PE=1 SV=1
Stk3,Serine/threonine-protein kinase 3 OS=Mus musculus OX=10090 GN=Stk3 PE=1 SV=1
Stk32a,Serine/threonine-protein kinase 32A OS=Mus musculus OX=10090 GN=Stk32a PE=2 SV=1
Stk32c,Serine/threonine-protein kinase 32C OS=Mus musculus GN=Stk32c PE=1 SV=1
Stk38,Serine/threonine-protein kinase 38 OS=Mus musculus OX=10090 GN=Stk38 PE=1 SV=1
Stk38l,Serine/threonine-protein kinase 38-like OS=Mus musculus OX=10090 GN=Stk38l PE=1 SV=2
Stk39,STE20/SPS1-related proline-alanine-rich protein kinase OS=Mus musculus GN=Stk39 PE=1 SV=1
Stk4,Serine/threonine-protein kinase 4 OS=Mus musculus OX=10090 GN=Stk4 PE=1 SV=1
Stmn1,Stathmin OS=Mus musculus GN=Stmn1 PE=1 SV=2
Stmn2,Stathmin-2 OS=Mus musculus GN=Stmn2 PE=1 SV=1
Stmn3,Stathmin-3 OS=Mus musculus GN=Stmn3 PE=1 SV=1
Stmn4,Stathmin-4 OS=Mus musculus GN=Stmn4 PE=2 SV=1
Stn1,CST complex subunit STN1 OS=Mus musculus OX=10090 GN=Stn1 PE=1 SV=2
Stom,Erythrocyte band 7 integral membrane protein OS=Mus musculus OX=10090 GN=Stom PE=1 SV=3
Stoml1,Stomatin-like protein 1 OS=Mus musculus OX=10090 GN=Stoml1 PE=2 SV=1
Stoml2,Stomatin-like protein 2 OS=Mus musculus GN=Stoml2 PE=1 SV=1
Ston1,Stonin-1 OS=Mus musculus OX=10090 GN=Ston1 PE=1 SV=2
Ston2,Stonin-2 OS=Mus musculus GN=Ston2 PE=1 SV=1
Stox2,Storkhead-box protein 2 OS=Mus musculus OX=10090 GN=Stox2 PE=2 SV=2
Stra6,Receptor for retinol uptake STRA6 OS=Mus musculus OX=10090 GN=Stra6 PE=1 SV=1
Strada,STE20-related kinase adapter protein alpha OS=Mus musculus OX=10090 GN=Strada PE=1 SV=1
Stradb,STE20-related kinase adapter protein beta OS=Mus musculus OX=10090 GN=Stradb PE=2 SV=1
Strap,Serine-threonine kinase receptor-associated protein OS=Mus musculus GN=Strap PE=1 SV=2
Strbp,Spermatid perinuclear RNA-binding protein OS=Mus musculus GN=Strbp PE=1 SV=1
Strip1,Striatin-interacting protein 1 OS=Mus musculus GN=Strip1 PE=1 SV=2
Strip2,Striatin-interacting proteins 2 OS=Mus musculus OX=10090 GN=Strip2 PE=1 SV=1
Strn,Striatin OS=Mus musculus GN=Strn PE=1 SV=1
Strn3,Striatin-3 OS=Mus musculus GN=Strn3 PE=1 SV=1
Strn4,Striatin-4 OS=Mus musculus GN=Strn4 PE=1 SV=1
Sts,Steryl-sulfatase OS=Mus musculus OX=10090 GN=Sts PE=1 SV=1
Stt3a,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A OS=Mus musculus GN=Stt3a PE=1 SV=1
Stt3b,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B OS=Mus musculus GN=Stt3b PE=1 SV=2
Stub1,STIP1 homology and U box-containing protein 1 OS=Mus musculus GN=Stub1 PE=1 SV=1
Stum,Protein stum homolog OS=Mus musculus GN=Stum PE=1 SV=1
Stx12,Syntaxin-12 OS=Mus musculus GN=Stx12 PE=1 SV=1
Stx16,Syntaxin-16 OS=Mus musculus GN=Stx16 PE=1 SV=3
Stx17,Syntaxin-17 OS=Mus musculus OX=10090 GN=Stx17 PE=1 SV=1
Stx18,Syntaxin-18 OS=Mus musculus OX=10090 GN=Stx18 PE=1 SV=2
Stx1a,Syntaxin-1A OS=Mus musculus GN=Stx1a PE=1 SV=3
Stx1b,Syntaxin-1B OS=Mus musculus GN=Stx1b PE=1 SV=1
